Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2008,9.12,UttarPradesh,Wheat,Ton th,25679.0
"Annual, Ending mar Of Each Year", 3-2009,9.51,UttarPradesh,Wheat,Ton th,28554.0
"Annual, Ending mar Of Each Year", 3-2010,9.668,UttarPradesh,Wheat,Ton th,27518.0
"Annual, Ending mar Of Each Year", 3-2011,9.637,UttarPradesh,Wheat,Ton th,30001.0
"Annual, Ending mar Of Each Year", 3-2012,9.73,UttarPradesh,Wheat,Ton th,30290.0
"Annual, Ending mar Of Each Year", 3-2013,9.73,UttarPradesh,Wheat,Ton th,30300.0
"Annual, Ending mar Of Each Year", 3-2005,0.39,Uttaranchal,Wheat,Ton th,803.0
"Annual, Ending mar Of Each Year", 3-2006,0.4,Uttaranchal,Wheat,Ton th,645.0
"Annual, Ending mar Of Each Year", 3-2007,0.39,Uttaranchal,Wheat,Ton th,801.0
"Annual, Ending mar Of Each Year", 3-2008,0.4,Uttaranchal,Wheat,Ton th,814.0
"Annual, Ending mar Of Each Year", 3-2009,0.4,Uttaranchal,Wheat,Ton th,797.0
"Annual, Ending mar Of Each Year", 3-2010,0.395,Uttaranchal,Wheat,Ton th,845.0
"Annual, Ending mar Of Each Year", 3-2011,0.379,Uttaranchal,Wheat,Ton th,878.0
"Annual, Ending mar Of Each Year", 3-2012,0.37,Uttaranchal,Wheat,Ton th,880.0
"Annual, Ending mar Of Each Year", 3-2013,0.36,Uttaranchal,Wheat,Ton th,840.0
"Annual, Ending mar Of Each Year", 3-2005,0.4,WestBengal,Wheat,Ton th,841.5
"Annual, Ending mar Of Each Year", 3-2006,0.37,WestBengal,Wheat,Ton th,773.5
"Annual, Ending mar Of Each Year", 3-2007,0.35,WestBengal,Wheat,Ton th,799.9
"Annual, Ending mar Of Each Year", 3-2008,0.35,WestBengal,Wheat,Ton th,917.3
"Annual, Ending mar Of Each Year", 3-2009,0.31,WestBengal,Wheat,Ton th,764.5
